row_index,row_label,x_mm,y_mm,z_mm,rdk_raw_count,rdk_filtered_count,six_raw_count,six_filtered_count,reach_mm,reach_excess_mm
366,366,1010.7463620596408,-301.95739557951146,1073.8590130760015,22,10,22,10,1262.2285012825107,-427.7714987174893
367,367,1011.0327688220066,-304.74516008570146,1069.9558153293033,22,10,22,10,1252.8555171420364,-437.14448285796357
368,368,1011.1915583782777,-308.58140398051125,1065.722210458922,22,10,22,10,1242.6402509398383,-447.3597490601617
369,369,1012.0216671251698,-309.5237956999054,1063.0449341148467,22,10,22,10,1235.7559630714943,-454.2440369285057
370,370,1013.5666222403767,-309.54068807756505,1060.4701432372071,22,10,22,10,1228.9763985134869,-461.02360148651314
371,371,1015.4946255319451,-308.88337922685656,1058.0711397811565,22,10,22,10,1222.5632369945254,-467.43676300547463
372,372,1017.4867336109664,-308.0337255584876,1055.816614560722,22,10,22,10,1216.5228457587762,-473.47715424122384
373,373,1018.624496286032,-311.9445289122326,1051.3054505136472,22,10,22,10,1205.935094012293,-484.0649059877071
374,374,1019.5848940720441,-316.2018944288724,1047.096266905227,21,9,21,9,1196.0084039739459,-493.99159602605414
375,375,1021.0653669150886,-318.6579045553113,1043.6798692341622,22,10,22,10,1187.9386589105216,-502.06134108947845
376,376,1023.5534981184635,-321.00906332066046,1039.869991253943,20,10,20,10,1179.1083885934163,-510.8916114065837
377,377,1026.8307639243674,-320.44289479105345,1037.1136592109735,14,10,14,10,1172.719915037232,-517.2800849627679
378,378,1030.1273124515362,-320.7317701583215,1034.0542383767015,14,10,14,10,1165.8777164947035,-524.1222835052965
379,379,1032.749760498478,-324.43255645636515,1029.9296234037506,14,10,14,10,1157.1721534488606,-532.8278465511394
380,380,1034.8271107144074,-329.1602641179194,1025.969529617655,14,10,14,10,1149.0234005641073,-540.9765994358927
381,381,1037.1985696907045,-335.2430956962304,1021.6256713886205,14,10,14,10,1140.5355195217612,-549.4644804782388
382,382,1041.058218184736,-339.94366668824324,1017.4810051786014,14,10,14,10,1133.0862537011487,-556.9137462988513
383,383,1046.0771128541587,-339.71105743035264,1014.6499239407481,14,10,14,10,1128.6883998728963,-561.3116001271037
384,384,1051.170968031641,-340.6482111115162,1011.5977401805426,14,10,14,10,1124.3298305632677,-565.6701694367323
385,385,1055.489796444308,-343.1908834450512,1008.550458102759,16,12,16,12,1120.281579138047,-569.7184208619531
386,386,1058.5327014379582,-350.0265180272433,1005.0059098896679,16,12,16,12,1115.8393309360292,-574.1606690639708
387,387,1061.8930261873152,-361.4969180062241,1000.8545375880778,16,12,16,12,1111.7437992074713,-578.2562007925287
388,388,1067.210090197456,-368.2337183742412,997.727708020752,16,6,16,6,1110.547729639186,-579.452270360814
389,389,1073.892511855417,-368.7394381481597,995.5180863518724,16,6,16,6,1111.3040066539475,-578.6959933460525
