source_row,index,valid,issues,x_mm,y_mm,z_mm,r11,r12,r13,r21,r22,r23,r31,r32,r33
10,10,True,,1024.263754714699,-386.2339536598609,1105.0116016572201,-0.3241594071117677,-0.21930337785953902,0.920231876887746,0.16020091085316257,0.94598291300451,0.28187230524710793,-0.9323391802036234,0.238793544223662,-0.2715166593311315
11,11,True,,1023.1444449481075,-384.5201430922621,1106.1794051880283,-0.3351751337806229,-0.21486723681608766,0.9173274770975527,0.15626120863179657,0.9474845144171962,0.2790260375243508,-0.9291071328819255,0.23686528973792165,-0.28399783475459595
12,12,True,,1022.2526908190324,-382.7342172556312,1107.1301376311658,-0.34404149501577247,-0.21135162335058333,0.9148584267603298,0.15325422347499765,0.9486317756257888,0.2767867360625119,-0.9263630998125885,0.23543204025819492,-0.2939781653889893
13,13,True,,1021.438674974737,-380.81972264037347,1108.0304846098006,-0.35220827971775953,-0.20862646095595272,0.9123729103208024,0.15194160429907175,0.9491611448103594,0.2756934349332833,-0.9235058616929732,0.23572891416048763,-0.30260337481171085
14,14,True,,1020.6099870045612,-379.0293465288718,1108.9337135030382,-0.36066375949129514,-0.20468387343709493,0.9099594301640005,0.14855450643519866,0.9505619750472368,0.2726967000388729,-0.9207894499870206,0.23353039106095763,-0.3124265437563148
15,15,True,,1019.5671098422581,-377.34911416108497,1110.077179079149,-0.37146579827941884,-0.1992002968452592,0.906825453130532,0.14332073283675084,0.9527025584216176,0.2679869450477789,-0.9173180082434722,0.22951487296832246,-0.32534688386176996
16,16,True,,1018.3418986356962,-375.81044228394086,1111.4238992708276,-0.3843466075654847,-0.19293123876202503,0.9028040885832618,0.13634508196053993,0.9553324107823632,0.2622022187814817,-0.9130650052860841,0.22386943073700083,-0.34087354561980054
17,17,True,,1017.31142816138,-374.3446910362271,1112.5398509064755,-0.3953870075585564,-0.18729811918418082,0.8992155074307597,0.12862331089210677,0.9580522521116861,0.25610920740746285,-0.909464214880961,0.21692232889630056,-0.3547105088338414
18,18,True,,1016.5204494909075,-372.6826281636853,1113.4298666901686,-0.4039006884476734,-0.18352021268190444,0.8962056490609084,0.12377660636804716,0.9596985609876597,0.25230541760775754,-0.9063904156529377,0.21283562571948328,-0.3649074003594489
19,19,True,,1015.870796142405,-370.85368940015877,1114.2019491029878,-0.4108651924341362,-0.18106317300460306,0.8935356294113658,0.12135471000817546,0.9604978496135129,0.25043345472729744,-0.9035833265421026,0.21132914675766545,-0.37266226496089633
20,20,True,,1015.2920914505575,-369.04815477400984,1114.8803681979243,-0.417202777547494,-0.1784759761470452,0.8911162485024139,0.11845309345902848,0.961484031971957,0.24802685522526716,-0.9010608786628366,0.2090329691730669,-0.3799927772235267
21,21,True,,1014.6468171169408,-367.23813753069595,1115.6552319530024,-0.42430555453054963,-0.17568618499368202,0.8883125355396537,0.11555254453842265,0.9624729153298972,0.2455473410710541,-0.8981160313930594,0.2068338745436406,-0.3880816183434188
22,22,True,,1013.9272050172247,-365.7700272553753,1116.3952938956063,-0.4327301074545758,-0.17089690319360568,0.88517732832534,0.10764101208677002,0.9650499844087834,0.23893919751590084,-0.8950743358064107,0.1986775681133686,-0.39921066782999504
23,23,True,,1013.0355789502507,-364.40168144648726,1117.3405935790586,-0.4431807172172316,-0.16539252659903375,0.881042657328241,0.09833057959189816,0.9679325491357461,0.23116590890678043,-0.8910229789427104,0.18908170844575223,-0.41270589834323185
24,24,True,,1012.1188170487571,-362.94463499196274,1118.363287588466,-0.45378594490788526,-0.16093256682130572,0.8764582278353966,0.09068188177361296,0.9701113689650354,0.22507938182512774,-0.8864846939017359,0.18161674135687805,-0.425629236233667
25,25,True,,1011.5336406474332,-361.421449818208,1118.966608673074,-0.46071251623963194,-0.15779505952589812,0.8734098102090252,0.08410607336438745,0.9718787067635003,0.21994987556925474,-0.883555400528666,0.1747927301947213,-0.43448516161970857
26,26,True,,1011.1325374289797,-359.63136251261125,1119.4326690284358,-0.46536742388221364,-0.1561074196297444,0.8712425806431727,0.08119243881688046,0.9726451150932501,0.21764482066937743,-0.8813858114742937,0.17202311943974635,-0.4399626094454158
27,27,True,,1010.7791879483617,-357.77113279228064,1119.8678942371719,-0.4694294169356483,-0.15480079868954438,0.8692943892839391,0.07924243339732434,0.973153048292098,0.21608743912839612,-0.8794069929587368,0.17032280330266064,-0.44455987606889946
28,28,True,,1010.3605406713027,-356.3024710437767,1120.1802844399504,-0.4748562709943399,-0.1517581211150535,0.8668800347066362,0.07178097501149566,0.9750593330641789,0.21001616278476734,-0.8771311267557145,0.16195298601775643,-0.45211969299753285
29,29,True,,1009.5122687661407,-354.85601560128134,1121.1170493431857,-0.48503879009935474,-0.14792199697465389,0.8618912082797833,0.06406083934327543,0.9769317722374746,0.20371676724212495,-0.8721430966083428,0.1540240085310649,-0.46437379753215335
30,30,True,,1008.6190643396784,-353.8661872201606,1121.8479319362102,-0.4962117046017856,-0.14327207939775008,0.8562984616833288,0.050620201181478225,0.9798377811195462,0.19327575616996306,-0.8667246041555167,0.13925169282909688,-0.4789545141197585
31,31,True,,1008.2143166617178,-352.86819259487396,1121.871258409231,-0.5018731235809226,-0.13988940261178065,0.8535539367046744,0.03746794273027745,0.9823921189814598,0.18303518194783774,-0.8641293428038934,0.12384134850701742,-0.48779483320887573
32,32,True,,1007.9860166666036,-351.09411160197595,1122.0744425279345,-0.5046698976532944,-0.13896407742941935,0.852054739783075,0.034534876011773345,0.9829203188046566,0.18076224500653865,-0.8626213750780031,0.12065086848068188,-0.49125118950837404
33,33,True,,1007.8369327939693,-349.3621070416395,1122.1310008042474,-0.5066335534930964,-0.1380878394883378,0.8510312515180632,0.031073412204706437,0.9835244292426216,0.1780846431810778,-0.8616013495398637,0.11666810047488754,-0.4939956161775803
34,34,True,,1007.6313994621713,-347.8112881972333,1122.1420331566712,-0.5094287886586981,-0.13677838834209047,0.8495728231106923,0.025341440428302036,0.9844738373493528,0.1736924724093109,-0.8601395937188047,0.11001334490497358,-0.49805315304701075
35,35,True,,1007.195552730278,-346.4432383134231,1122.3788924339924,-0.514935965543458,-0.13487703375331905,0.8465513198594239,0.017368908227138036,0.9857000224044236,0.16761201287173952,-0.8570526660694918,0.10101312586899261,-0.50522972595182
36,36,True,,1006.6945072472923,-345.7245933592084,1122.2469990276338,-0.5217484479099459,-0.13197685457179995,0.8428289666123825,0.0015241904347502355,0.9878152672869885,0.1556235025895961,-0.8530980213006482,0.08248095278347221,-0.5151899246693878
37,37,True,,1006.2659332209191,-344.91272303280186,1122.0820843312952,-0.5275369837726175,-0.12964479048635172,0.8395814189534206,-0.012922737163376065,0.9893971852536304,0.1446589529769923,-0.8494337723544405,0.06546325772479805,-0.5236189724138739
38,38,True,,1005.9991154873134,-343.43830313051313,1122.1123819602424,-0.5308827421391447,-0.1287095404081435,0.8376140927102094,-0.019192325489830565,0.9899715690826882,0.1399569471310835,-0.8472279319882666,0.058224965572209436,-0.5280290566275687
39,39,True,,1005.9819713217224,-341.95668804619845,1121.761498582512,-0.5314691674207057,-0.12805038864346446,0.8373431925139175,-0.025305059863572465,0.990467070264716,0.13540545286852862,-0.8466995795596234,0.05077480368734094,-0.5296430319413908
40,40,True,,1006.0142634047866,-340.3490746818979,1121.4154405934114,-0.5313702840212924,-0.12768563684826809,0.8374616405554247,-0.02983166523467107,0.9907828729718479,0.13213391076849965,-0.8466142527789488,0.0452291583859739,-0.5302816517882162
41,41,True,,1005.9554464409877,-339.2496935565252,1120.8128406683823,-0.5325549134058188,-0.12683042446314874,0.8368388779435493,-0.04010565968704296,0.9913798655162668,0.1247297009938538,-0.8454447351946713,0.032863439860224615,-0.5330508362737699
42,42,True,,1005.6688010487022,-338.967251641422,1119.926585604218,-0.536580595595203,-0.1253240185535327,0.8344909554957988,-0.05934830136673956,0.992066046995992,0.1108275124805621,-0.8417594927029811,0.009942271940571686,-0.5397611579884939
43,43,True,,1005.2045270954316,-338.45198412450026,1119.4988992539977,-0.5421732301024762,-0.12427764329152394,0.8310254243632696,-0.07563239191498437,0.9922052318568626,0.099037968320678,-0.83685597915858,-0.009156705399550304,-0.5473465309041067
44,44,True,,1004.995152260069,-337.35284218480444,1119.1176658465056,-0.5447093222087122,-0.12381840085780925,0.829433998524259,-0.08532303003879219,0.9920906198880975,0.09206618529650182,-0.8342731775886871,-0.02062051258008165,-0.5509655702646127
45,45,True,,1005.1504294560185,-336.0935816876205,1118.3132849316644,-0.5433604166319284,-0.1234442968723679,0.8303739899631153,-0.09316298400305377,0.9918868813217588,0.0864931966887687,-0.8343141590847083,-0.030363139354848946,-0.5504525081415236
46,46,True,,1005.4199526405016,-334.5532335786684,1117.5542666994172,-0.5407076460366173,-0.12322020960674014,0.8321370208457326,-0.09792380586544397,0.9917083126118428,0.08321989510567039,-0.8354915737231388,-0.036488390496745175,-0.5482904591515249
47,47,True,,1005.5724317120323,-333.92604823634525,1116.235678560078,-0.5394002041037822,-0.12285930431602941,0.8330384211762262,-0.11191713603419207,0.9909818054162852,0.07368592807167569,-0.8345789204591153,-0.053485069663049785,-0.5482858495788819
48,48,True,,1005.3977484527147,-334.00682715808364,1114.8608729654231,-0.5414258672400417,-0.12262588966149111,0.8317577300320669,-0.13267995497734375,0.9893716496289972,0.0594959532876562,-0.8302132616566534,-0.07814493006667002,-0.5519414009424338
