row_label,inserted_transition_point,frame_a_origin_dy_mm,frame_a_origin_dz_mm,x_mm,y_mm,z_mm,r11,r12,r13,r21,r22,r23,r31,r32,r33
203,0,-4.000390998049206,3.99952413484273,1073.0940257207826,-703.6519200306786,998.2224552689321,-0.02905361922892991,0.2365712269640779,0.9711796650375313,-0.43585945532458104,-0.8773568271464697,0.20067768451833254,0.8995456755573115,-0.41746742679182836,0.1286021973138464
204,0,-3.9999741651519924,3.999518344909546,1072.5890698391734,-702.9333898258398,998.8911744113996,-0.02490788888748609,0.23577545833442612,0.9714883068356305,-0.4277158718982332,-0.8808660069536433,0.2028157062948492,0.9035699917535458,-0.41046925712011073,0.12278541835967949
205,0,-3.9995668800181736,3.9995858690594446,1071.9403683655348,-701.5454866274221,999.3699538593496,-0.0202064237219657,0.23415071188489414,0.9719903006533378,-0.4237844646268919,-0.8825392209708853,0.203792175975923,0.9055376458111871,-0.40779647812591546,0.11706239552833667
206,0,-3.999189677928543,3.9996665798986735,1071.4119780822841,-701.1954312579066,1000.1575872968866,-0.015771591527355244,0.23343667890734993,0.9722440916978622,-0.4130699598727169,-0.887030652809712,0.2062760995043496,0.9105627189553976,-0.3983515255608833,0.11041556471743738
207,0,-3.998904088132064,3.999717504744194,1071.7518852971855,-701.2764623491754,1000.7609391545227,-0.017020029037217634,0.23553719210011637,0.9717162907706989,-0.3994016652900406,-0.8925523774741309,0.20935272443610312,0.9166180384299202,-0.3845419152743554,0.10926521414437401
208,0,-3.99891178421421,3.999763044455048,1072.4968573769536,-701.7349608773683,1001.3292684157768,-0.021004977666099423,0.23888868035431504,0.970819751195772,-0.38302545760691703,-0.8988695641228115,0.21289670152136903,0.9234989386773862,-0.3673767889949513,0.11038118122896023
209,0,-3.9993667187482203,3.999826502192941,1072.4170789149086,-702.1431681972833,1002.2434542807366,-0.019334914723979114,0.2398693860100915,0.9706126100189294,-0.36676114572236285,-0.9048198118041585,0.21630388381882323,0.93011419893529,-0.35180077575501306,0.10546938473858111
210,0,-4.000545747316578,3.999890860103026,1071.8107167967187,-701.3171851903331,1002.9188309294093,-0.014516098500985392,0.23883859955122355,0.9709507743694941,-0.35873888437221363,-0.9076477106449103,0.21790375444317814,0.9333250750535365,-0.3451546852144175,0.09885619631994323
211,0,-4.000583514516866,3.9999494009367056,1071.060250130761,-699.9999619928411,1003.478752401253,-0.008858664713071339,0.23720327714696657,0.971419646378557,-0.3540318433547674,-0.9092785963222604,0.21880102413161892,0.9351914124660934,-0.3419752031667782,0.09203250767372338
212,0,-4.00022635507959,3.9999943779597027,1070.4345429184916,-699.629071674745,1004.3079832969439,-0.003750313131762327,0.23629181848870034,0.9716749001938441,-0.3426511482997059,-0.9131615551285313,0.2207400389692265,0.9394552281616761,-0.3321176760585708,0.08439030471059789
213,0,-4.000069504588909,4.000011017568426,1070.7141403800783,-699.3544786107167,1004.8044688506465,-0.0051439678332987765,0.23775611709235867,0.9713112623562514,-0.3304845239500113,-0.917149491163367,0.2227482666336863,0.9437973929951622,-0.3198575302286036,0.083292504654342
214,0,-4.000008436482489,4.000022279354144,1071.2525321388953,-699.3983781303273,1005.2819530087122,-0.008437114441231231,0.23987994996277784,0.9707658959325677,-0.31589816557877926,-0.921724525004245,0.22501610828929824,0.9487555871160221,-0.304764679074781,0.0835543314531212
215,0,-3.9999808278247118,4.000046486504272,1071.265657418425,-699.3441535096621,1005.9770672645433,-0.007928230749238114,0.2406703084293894,0.9705745441735476,-0.3018654099139161,-0.9258999657425102,0.22712667772747896,0.9533175847820549,-0.2911821699186289,0.07999078988726452
216,0,-3.999937238619011,4.0000733102387676,1070.9982455786203,-698.5666443467135,1006.5150024724469,-0.005593454684881711,0.24051277497575496,0.970629856504605,-0.2929499286277186,-0.9284534460271516,0.2283736803515712,0.9561114226813227,-0.2830685493546907,0.07565146254057711
217,0,-3.9998782650308105,4.000043340813196,1070.2734809193146,-697.7227602382305,1007.2400086475261,0.0001948260218686619,0.23935470515715782,0.9709321743365762,-0.2844602256483337,-0.930807622777479,0.22952025924401012,0.9586878230513416,-0.27623630192005644,0.06790554789272472
218,0,-3.999801658668451,3.999982936687937,1069.6022610134703,-697.1944678649539,1008.0337116779974,0.005608150186874806,0.23834824309031674,0.9711635617480924,-0.2734925906837749,-0.9337850018477702,0.2307539234016123,0.9618577605304012,-0.2669001411388148,0.059949671955083404
219,0,-3.999927295133383,3.9999031426601563,1069.7126950422758,-696.7422870577198,1008.5229093493141,0.005101539112194226,0.23905311506484747,0.9709930908489925,-0.26186910140835823,-0.9368006628812885,0.23201097334556764,0.9650899170679724,-0.2554567012293306,0.05782149920888209
220,0,-4.000132750442339,3.9997993784003962,1070.038265739067,-696.2571764634204,1008.8813828516295,0.0028477235103818543,0.2400831012979921,0.9707481624715788,-0.2503729591098305,-0.9396616885181756,0.2331293470967535,0.9681452741285244,-0.24371297791112703,0.057434419822045134
221,0,-4.000253844522677,3.999656118464447,1070.3286990759325,-695.8582653365605,1009.2993458259529,0.0008392504073463314,0.24100247020852275,0.9705241393248002,-0.2381257738076532,-0.9425585065600258,0.2342639057982267,0.9712339633205072,-0.2313034177540923,0.056597857097382104
222,0,-4.0001790839712,3.999587226508938,1070.314219832807,-695.356548281719,1009.7988604939808,0.001120840353669876,0.24124137577727803,0.97046449823267,-0.226545793781551,-0.9451722262475748,0.23521578614134372,0.97399987014208,-0.22011828943386225,0.053592831796070606
223,0,-3.9999443284928757,3.999747907440738,1069.5858704282746,-694.8698850003944,1010.6394530234871,0.007028229915329176,0.24024238258801467,0.9706874891501854,-0.2147504034823636,-0.947700007937155,0.2361079396379511,0.9766436751386963,-0.21011495083489495,0.044931495047798906
224,0,-3.999768959028527,3.9999539857362887,1068.9038193468446,-694.0539283519585,1011.338813366985,0.012527788130207959,0.23923086786171577,0.9708818910592035,-0.20540259552403084,-0.9496359155365107,0.23664615288469115,0.9785973780245665,-0.20238631323600795,0.037241803637585405
225,0,-3.9998926912643444,4.0000435195330395,1068.7411843837538,-693.2976307022057,1011.8226768685373,0.013916967704351104,0.23911663912498865,0.9708911117645923,-0.19552302932312582,-0.9515898206914694,0.23716567660748364,0.9806003584611951,-0.19313219837703752,0.03350956484093001
226,0,-4.000147004419105,4.00019400222721,1068.9584401264315,-692.4424022091666,1012.0818279366848,0.012215089240256155,0.23953298789148017,0.970811381941226,-0.1863569153482326,-0.9533280756224732,0.2375640552184689,0.9824061745005191,-0.18381928065829248,0.03299364122863162
227,0,-4.000420294616515,4.00060719931646,1069.5106404217795,-691.8851947155421,1012.2783421102725,0.007760403272770563,0.24034311622477156,0.9706569747466971,-0.17471038530945152,-0.9554301323536839,0.23796962717045453,0.9845892836132573,-0.17143059433481558,0.03457591531608299
228,0,-4.000573632949004,4.00072421657576,1069.5811604112528,-691.6707744892274,1012.7967959416682,0.007120235018251291,0.2403082666611488,0.970670510125655,-0.1601529461443434,-0.9578909059133478,0.2383192107443145,0.9870665307336541,-0.15715263072192,0.031665668516674794
229,0,-4.000412110586627,4.00066219587185,1068.8449919486004,-691.2612604664125,1013.6421850652658,0.013072958001658218,0.23924660082180377,0.9708708265079857,-0.1470686538153947,-0.9599340518335197,0.23853181589760641,0.9890398924381234,-0.14590298189445775,0.022636497968790574
230,0,-4.0001741030485185,4.000520834256766,1068.0858874608202,-690.3244645763483,1014.3305925990526,0.01926677565580975,0.2382106594677669,0.9710223854637752,-0.13822949812658183,-0.9612412087240313,0.23855386079130353,0.9902128039989697,-0.13882010073002723,0.014407721187026202
231,0,-4.000056458237482,4.000355056169591,1067.5904133056765,-689.4996769748693,1014.9260482331285,0.023309446477048575,0.2375020210643046,0.9711073368558722,-0.12839551229711924,-0.9626156833073777,0.23850710402969305,0.9914490718775695,-0.1302452925868768,0.008056154918131731
232,0,-3.999999215018378,4.000197068969147,1067.5617225433027,-688.6604941783127,1015.2821656612585,0.023467338584291796,0.23729019882958458,0.9711553148488592,-0.11861603744589032,-0.9639001092907693,0.23838375567533623,0.9926628429030702,-0.12078882749931585,0.005526252883750411
233,0,-3.9999585916486686,4.000033358903974,1067.9284666999915,-687.8921996396408,1015.4577005564694,0.020269855840990024,0.2373499815872976,0.9712127054279589,-0.1081509908023008,-0.96519156521985,0.238135687407278,0.9939278123348125,-0.10986459242615744,0.006105341789628207
234,0,-3.9999839230006353,3.999925449740848,1068.0239650104675,-687.0523624521143,1015.7396292290282,0.01931110185238041,0.23705371326579727,0.971304596083095,-0.0982144163735368,-0.9663373639251932,0.2377940863405027,0.9949778941070263,-0.09998817984645027,0.004621052839059815
235,0,-4.0000668618444,3.999836664403231,1067.6967342010869,-686.3591783743808,1016.2610021455009,0.021881812334717286,0.23630261223244559,0.9714330968940017,-0.0869434697150998,-0.9675347473078189,0.23731275950924952,0.9959729009179153,-0.08965259730826451,-0.000626444757677199
236,0,-4.000214694527604,3.999759499767542,1067.0231034780454,-685.6429673533218,1016.9496214096326,0.02741761506204289,0.2353320632093972,0.9715282262548619,-0.0758046078142703,-0.9686055711138164,0.2367634030871376,0.9967456725857577,-0.0801378040183659,-0.008717599938037404
237,0,-4.000462279969826,3.999699496521452,1066.2417567127923,-685.0119918194717,1017.7117909455225,0.033903747361552806,0.23428592922789024,0.9715763682185092,-0.0638307575352358,-0.9696429217930858,0.2360471109949149,0.9973846651655127,-0.07001933720331664,-0.017919880308927806
238,0,-3.999523019172862,3.999675916812397,1066.0421424144513,-684.3022546491101,1018.1594804523762,0.03544111705350472,0.23365051179072177,0.9716745162666013,-0.0524652910175708,-0.9705095689015171,0.23528401966354043,0.9979936475050537,-0.05931791475199921,-0.022137401135480496
239,0,-3.9991985991962453,3.999701549079654,1066.3113512015477,-683.1589478930874,1018.24064365101,0.03298620136101048,0.23335607638499578,0.9718316994901797,-0.0448615144221079,-0.9710351274791255,0.23468750653870307,0.9984484739051516,-0.05133929115013945,-0.021562053257408904
240,0,-3.9992393289934176,3.9998091135075122,1066.6335440526443,-681.7425332683864,1018.2208444398196,0.030100212353251176,0.23313959525891492,0.9719773178108627,-0.03964852256478479,-0.9713741288015054,0.23422274986334304,0.9987602174069206,-0.045587619126532045,-0.01999492704801179
241,0,-3.9995793853357897,4.0000677511053375,1066.690982388088,-681.0981627383021,1018.5041424828871,0.029337590702727706,0.232186180134682,0.9722288226164787,-0.027449068180059797,-0.9720935445012272,0.23298216540131822,0.9991926012675464,-0.03352191064819807,-0.022145588244356293
242,0,-4.000305412469978,4.000619218031949,1065.8792943467085,-680.614167062689,1019.2869290019911,0.036096000993677435,0.23091678566890828,0.9723037163400149,-0.013752392249095394,-0.9727308460572952,0.2315287732358248,0.999253696725557,-0.021728764921146313,-0.0319360353724457
243,0,-4.001157767005818,4.001219586667357,1064.7839889784357,-680.1578803361207,1020.2177083401685,0.045399794560757434,0.2296155799256056,0.9722219623672718,0.0003236977462779056,-0.9732287875988156,0.2298382522747436,0.9989688452967941,-0.010119903377376732,-0.04425871306333347
244,0,-4.001279962632711,4.00147736930146,1064.4172397454456,-679.5922018925771,1020.7520928438153,0.04838559870457723,0.2285684161830035,0.9723246952338468,0.013470663665007706,-0.9735256786521714,0.2281803984246968,0.9987378910697361,0.002057213752248344,-0.05018359107470992
245,0,-4.001059385663757,4.001003279437426,1064.4915918273412,-678.1967282355952,1020.8427554061908,0.04763005896091853,0.22808035053952364,0.9724765967267015,0.019055275659497307,-0.9736118721346724,0.22741332174689982,0.998683270087629,0.0076990996997339176,-0.05071932482687011
246,0,-4.000708923576016,4.000722525140774,1064.726304008112,-676.6217648173467,1020.8062925565843,0.045486130116244666,0.22769145647409064,0.9726703514633082,0.022998999752802507,-0.9736587436029908,0.2268472988946884,0.9987001842281891,0.012052039418820508,-0.04952464405150779
247,0,-4.000367147900226,4.0005579686675325,1064.8044776727634,-675.7154990404093,1020.9693015569173,0.04460279056627835,0.22649429970388069,0.9729907107857452,0.03326200332110521,-0.9737566879811196,0.22514784419822362,0.9984509152726376,0.022321398112337534,-0.05096591976549661
248,0,-4.0001611407058215,4.000465096202077,1064.2123994526553,-674.8504823077059,1021.5150383454145,0.049646795052116326,0.22540991541179647,0.9729982352374027,0.0439363064837026,-0.973749405624725,0.22334210534080876,0.9977999783090915,0.03166172894112898,-0.05824721630116898
249,0,-4.000035772933884,4.000426562825718,1063.4309742426944,-674.4223949030003,1022.225125462116,0.056376245019942935,0.22393756385725186,0.9729715753767582,0.05880698796541791,-0.9735743339590224,0.2206688795971948,0.9966762047745931,0.044777044899426986,-0.06805555881916002
250,0,-3.9999715217872716,4.000441537640997,1062.8915660485943,-673.9637891333847,1022.8213214381929,0.060991454749754925,0.2225467573047875,0.9730123243107627,0.07342182831901381,-0.9731865600576264,0.2179842986306521,0.9954342155932767,0.05814516434174091,-0.0756958538486097
251,0,-3.999973500614249,4.0003515699660825,1062.5913396779974,-672.5543398680744,1023.0904203247844,0.06362329372070769,0.22206314165446642,0.9729542834145276,0.07904949064820031,-0.9729876121913028,0.2169015549748948,0.9948383057182654,0.06311154918725718,-0.07945865487658202
252,0,-4.000072891259043,4.000215920191619,1062.5704492648274,-671.1649064015692,1023.2047859796282,0.06375172797567469,0.22138822835785438,0.9730996709097617,0.08488292379913101,-0.9727525829863556,0.2157482364717834,0.9943493382244625,0.06884522233201207,-0.08080673817590542
253,0,-4.000169089131072,4.00005937731926,1062.5900555664552,-669.6542750427532,1023.2628878511215,0.06353799790453103,0.22068622166868296,0.9732730934264467,0.08963194021362181,-0.9725642200509568,0.2146740626396583,0.9939461947790865,0.07359639557937024,-0.08157531760219702
254,0,-3.9998328635296367,3.9998939075463102,1062.42402920058,-668.3911458156813,1023.4589536951163,0.06498333447043421,0.21974975132674102,0.9733895484506393,0.09679696267623661,-0.972239395575378,0.2130279458378153,0.9931805043685458,0.08037788553488702,-0.08445046630529439
255,0,-4.000436793315996,3.9997293947291714,1061.901383248908,-667.8866821235598,1023.9452589851918,0.06964600548537712,0.21802786902964347,0.9734543041387838,0.11134917344322641,-0.9714248999741506,0.20960683501193852,0.9913378815991253,0.09379505336959068,-0.09193308691627045
256,0,-4.000333231512495,3.999582607806416,1060.8726009033148,-667.2983208616942,1024.7347581317317,0.07891504748520738,0.21700936955835928,0.9729744851764055,0.125110602149001,-0.9704573145278416,0.2063006008457677,0.9889993693174541,0.10544920200406374,-0.10373385795575284
257,0,-3.999952241464736,3.9994898094073865,1059.9405765514448,-666.1702897180713,1025.3943260934502,0.08739080328248118,0.2167367367637672,0.9723106676565039,0.13365282530410744,-0.9697713212243615,0.20415804372834834,0.9871675489955454,0.11211053236761451,-0.11371657197778014
258,0,-3.999599381744471,3.9995455237517126,1059.377466026836,-665.0290857273112,1025.8347229404594,0.09255113988444377,0.2161252600953559,0.9719692168246918,0.1421091850306864,-0.9690329896061134,0.2019406957127574,0.9855147213695006,0.11943591170059818,-0.12039849235037232
